colors	micros	name	path
31	354	naive	DSJC1000.1.col
29	531	by_degree	DSJC1000.1.col
25	10833	dsatur	DSJC1000.1.col
24	8754	rlf	DSJC1000.1.col
127	1449	naive	DSJC1000.5.col
121	2082	by_degree	DSJC1000.5.col
114	48401	dsatur	DSJC1000.5.col
106	103778	rlf	DSJC1000.5.col
321	2860	naive	DSJC1000.9.col
313	3443	by_degree	DSJC1000.9.col
301	82981	dsatur	DSJC1000.9.col
277	379284	rlf	DSJC1000.9.col
8	11	naive	DSJC125.1.col
7	19	by_degree	DSJC125.1.col
6	186	dsatur	DSJC125.1.col
6	97	rlf	DSJC125.1.col
26	38	naive	DSJC125.5.col
23	47	by_degree	DSJC125.5.col
23	691	dsatur	DSJC125.5.col
20	379	rlf	DSJC125.5.col
56	55	naive	DSJC125.9.col
53	66	by_degree	DSJC125.9.col
50	1152	dsatur	DSJC125.9.col
50	1069	rlf	DSJC125.9.col
13	36	naive	DSJC250.1.col
11	55	by_degree	DSJC250.1.col
10	678	dsatur	DSJC250.1.col
9	390	rlf	DSJC250.1.col
43	116	naive	DSJC250.5.col
41	155	by_degree	DSJC250.5.col
37	2820	dsatur	DSJC250.5.col
34	2256	rlf	DSJC250.5.col
99	186	naive	DSJC250.9.col
93	226	by_degree	DSJC250.9.col
90	4905	dsatur	DSJC250.9.col
83	6568	rlf	DSJC250.9.col
20	105	naive	DSJC500.1.col
18	161	by_degree	DSJC500.1.col
16	2556	dsatur	DSJC500.1.col
15	1785	rlf	DSJC500.1.col
72	398	naive	DSJC500.5.col
71	564	by_degree	DSJC500.5.col
65	11534	dsatur	DSJC500.5.col
59	14609	rlf	DSJC500.5.col
175	682	naive	DSJC500.9.col
169	843	by_degree	DSJC500.9.col
163	19845	dsatur	DSJC500.9.col
154	46498	rlf	DSJC500.9.col
15	53	naive	DSJR500.1.col
13	94	by_degree	DSJR500.1.col
14	739	dsatur	DSJR500.1.col
13	1279	rlf	DSJR500.1.col
109	389	naive	DSJR500.1c.col
100	611	by_degree	DSJR500.1c.col
88	16727	dsatur	DSJR500.1c.col
89	24684	rlf	DSJR500.1c.col
143	481	naive	DSJR500.5.col
134	514	by_degree	DSJR500.5.col
132	10157	dsatur	DSJR500.5.col
132	22525	rlf	DSJR500.5.col
12	14	naive	anna.col
11	20	by_degree	anna.col
11	204	dsatur	anna.col
11	115	rlf	anna.col
12	9	naive	david.col
11	13	by_degree	david.col
11	146	dsatur	david.col
11	67	rlf	david.col
126	1398	naive	flat1000_50_0.col
123	1985	by_degree	flat1000_50_0.col
113	47845	dsatur	flat1000_50_0.col
106	100847	rlf	flat1000_50_0.col
125	1410	naive	flat1000_60_0.col
121	2043	by_degree	flat1000_60_0.col
112	47555	dsatur	flat1000_60_0.col
105	101362	rlf	flat1000_60_0.col
122	1430	naive	flat1000_76_0.col
123	2080	by_degree	flat1000_76_0.col
115	48205	dsatur	flat1000_76_0.col
105	100669	rlf	flat1000_76_0.col
47	151	naive	flat300_20_0.col
44	209	by_degree	flat300_20_0.col
42	3977	dsatur	flat300_20_0.col
37	3325	rlf	flat300_20_0.col
45	154	naive	flat300_26_0.col
45	212	by_degree	flat300_26_0.col
42	4089	dsatur	flat300_26_0.col
38	3470	rlf	flat300_26_0.col
46	154	naive	flat300_28_0.col
45	204	by_degree	flat300_28_0.col
41	3996	dsatur	flat300_28_0.col
37	3486	rlf	flat300_28_0.col
65	66	naive	fpsol2.i.1.col
65	88	by_degree	fpsol2.i.1.col
65	1979	dsatur	fpsol2.i.1.col
65	2459	rlf	fpsol2.i.1.col
30	64	naive	fpsol2.i.2.col
30	111	by_degree	fpsol2.i.2.col
30	1731	dsatur	fpsol2.i.2.col
30	1437	rlf	fpsol2.i.2.col
30	59	naive	fpsol2.i.3.col
30	83	by_degree	fpsol2.i.3.col
30	1559	dsatur	fpsol2.i.3.col
30	1344	rlf	fpsol2.i.3.col
9	15	naive	games120.col
9	22	by_degree	games120.col
9	226	dsatur	games120.col
9	119	rlf	games120.col
15	43	naive	homer.col
13	76	by_degree	homer.col
13	730	dsatur	homer.col
13	1322	rlf	homer.col
11	8	naive	huck.col
11	11	by_degree	huck.col
11	107	dsatur	huck.col
11	53	rlf	huck.col
54	113	naive	inithx.i.1.col
54	156	by_degree	inithx.i.1.col
54	3271	dsatur	inithx.i.1.col
54	4294	rlf	inithx.i.1.col
31	97	naive	inithx.i.2.col
31	127	by_degree	inithx.i.2.col
31	2570	dsatur	inithx.i.2.col
31	2528	rlf	inithx.i.2.col
31	87	naive	inithx.i.3.col
31	124	by_degree	inithx.i.3.col
31	2523	dsatur	inithx.i.3.col
31	2429	rlf	inithx.i.3.col
10	8	naive	jean.col
10	11	by_degree	jean.col
10	94	dsatur	jean.col
10	49	rlf	jean.col
213	1338	naive	latin_square_10.col
213	1173	by_degree	latin_square_10.col
129	44914	dsatur	latin_square_10.col
122	85469	rlf	latin_square_10.col
22	86	naive	le450_15a.col
18	130	by_degree	le450_15a.col
17	1688	dsatur	le450_15a.col
17	1422	rlf	le450_15a.col
22	86	naive	le450_15b.col
18	129	by_degree	le450_15b.col
17	1662	dsatur	le450_15b.col
16	1417	rlf	le450_15b.col
30	137	naive	le450_15c.col
26	196	by_degree	le450_15c.col
24	3254	dsatur	le450_15c.col
23	2451	rlf	le450_15c.col
31	141	naive	le450_15d.col
26	201	by_degree	le450_15d.col
24	3233	dsatur	le450_15d.col
23	2433	rlf	le450_15d.col
28	96	naive	le450_25a.col
26	137	by_degree	le450_25a.col
25	1654	dsatur	le450_25a.col
25	1619	rlf	le450_25a.col
27	94	naive	le450_25b.col
25	137	by_degree	le450_25b.col
25	1636	dsatur	le450_25b.col
25	1628	rlf	le450_25b.col
37	148	naive	le450_25c.col
29	202	by_degree	le450_25c.col
28	3298	dsatur	le450_25c.col
28	2831	rlf	le450_25c.col
35	159	naive	le450_25d.col
30	214	by_degree	le450_25d.col
29	3370	dsatur	le450_25d.col
28	2815	rlf	le450_25d.col
14	69	naive	le450_5a.col
11	101	by_degree	le450_5a.col
10	1245	dsatur	le450_5a.col
8	957	rlf	le450_5a.col
13	69	naive	le450_5b.col
12	100	by_degree	le450_5b.col
7	1247	dsatur	le450_5b.col
8	979	rlf	le450_5b.col
17	83	naive	le450_5c.col
12	131	by_degree	le450_5c.col
11	2123	dsatur	le450_5c.col
5	945	rlf	le450_5c.col
18	83	naive	le450_5d.col
14	132	by_degree	le450_5d.col
11	1999	dsatur	le450_5d.col
5	943	rlf	le450_5d.col
44	41	naive	miles1000.col
43	69	by_degree	miles1000.col
42	971	dsatur	miles1000.col
42	798	rlf	miles1000.col
76	51	naive	miles1500.col
73	82	by_degree	miles1500.col
73	1589	dsatur	miles1500.col
73	2066	rlf	miles1500.col
9	11	naive	miles250.col
8	19	by_degree	miles250.col
8	170	dsatur	miles250.col
8	105	rlf	miles250.col
22	21	naive	miles500.col
20	36	by_degree	miles500.col
20	366	dsatur	miles500.col
20	209	rlf	miles500.col
34	32	naive	miles750.col
32	50	by_degree	miles750.col
31	655	dsatur	miles750.col
31	432	rlf	miles750.col
49	26	naive	mulsol.i.1.col
49	36	by_degree	mulsol.i.1.col
49	628	dsatur	mulsol.i.1.col
49	527	rlf	mulsol.i.1.col
31	25	naive	mulsol.i.2.col
31	34	by_degree	mulsol.i.2.col
31	635	dsatur	mulsol.i.2.col
31	426	rlf	mulsol.i.2.col
31	26	naive	mulsol.i.3.col
31	35	by_degree	mulsol.i.3.col
31	641	dsatur	mulsol.i.3.col
31	423	rlf	mulsol.i.3.col
31	26	naive	mulsol.i.4.col
31	34	by_degree	mulsol.i.4.col
31	634	dsatur	mulsol.i.4.col
31	430	rlf	mulsol.i.4.col
31	26	naive	mulsol.i.5.col
31	34	by_degree	mulsol.i.5.col
31	636	dsatur	mulsol.i.5.col
31	435	rlf	mulsol.i.5.col
4	0	naive	myciel3.col
4	1	by_degree	myciel3.col
4	5	dsatur	myciel3.col
4	2	rlf	myciel3.col
5	1	naive	myciel4.col
5	2	by_degree	myciel4.col
5	16	dsatur	myciel4.col
5	5	rlf	myciel4.col
6	3	naive	myciel5.col
6	5	by_degree	myciel5.col
6	48	dsatur	myciel5.col
6	16	rlf	myciel5.col
7	8	naive	myciel6.col
7	11	by_degree	myciel6.col
7	140	dsatur	myciel6.col
7	47	rlf	myciel6.col
8	17	naive	myciel7.col
8	26	by_degree	myciel7.col
8	428	dsatur	myciel7.col
8	161	rlf	myciel7.col
16	18	naive	queen10_10.col
17	28	by_degree	queen10_10.col
14	490	dsatur	queen10_10.col
13	202	rlf	queen10_10.col
17	23	naive	queen11_11.col
17	35	by_degree	queen11_11.col
14	654	dsatur	queen11_11.col
14	291	rlf	queen11_11.col
20	31	naive	queen12_12.col
19	45	by_degree	queen12_12.col
16	875	dsatur	queen12_12.col
14	406	rlf	queen12_12.col
21	37	naive	queen13_13.col
23	57	by_degree	queen13_13.col
17	1148	dsatur	queen13_13.col
16	564	rlf	queen13_13.col
23	44	naive	queen14_14.col
25	68	by_degree	queen14_14.col
19	1415	dsatur	queen14_14.col
17	744	rlf	queen14_14.col
25	53	naive	queen15_15.col
25	80	by_degree	queen15_15.col
20	1792	dsatur	queen15_15.col
18	981	rlf	queen15_15.col
25	63	naive	queen16_16.col
27	92	by_degree	queen16_16.col
21	2247	dsatur	queen16_16.col
19	1254	rlf	queen16_16.col
8	3	naive	queen5_5.col
7	4	by_degree	queen5_5.col
5	49	dsatur	queen5_5.col
5	13	rlf	queen5_5.col
11	5	naive	queen6_6.col
9	7	by_degree	queen6_6.col
9	94	dsatur	queen6_6.col
8	28	rlf	queen6_6.col
10	7	naive	queen7_7.col
12	11	by_degree	queen7_7.col
10	152	dsatur	queen7_7.col
9	52	rlf	queen7_7.col
15	17	naive	queen8_12.col
15	30	by_degree	queen8_12.col
14	452	dsatur	queen8_12.col
13	192	rlf	queen8_12.col
13	10	naive	queen8_8.col
13	15	by_degree	queen8_8.col
13	239	dsatur	queen8_8.col
10	84	rlf	queen8_8.col
16	13	naive	queen9_9.col
15	21	by_degree	queen9_9.col
12	343	dsatur	queen9_9.col
11	131	rlf	queen9_9.col
42	132	naive	school1.col
32	177	by_degree	school1.col
20	3317	dsatur	school1.col
